"hw1","hw2"
9.6,9.25
8.95,7.65
10,10
6.3,0.2
7.7,0
9.6,8.85
9.05,9.25
9.8,9.7
9.25,8.85
7.15,8.65
9.6,8.85
7.35,7.13
9.45,9.75
9.55,9.6
10,9.65
0,0
5.7,5.15
10,9.8
9.8,8.7
10,9.5
9.5,8.55
8.1,6.95
9.6,9.65
9.65,9.9
9.7,9.5
8.7,9.1
0,0
9.4,8.65
9.45,9.5
1.8,1.4
9.7,9.9
10,9.7
8.9,9.6
0,0
9,9.3
9.5,9.9
